Date,Time,League,Division,Type,Away_Team,Away_Link,Away_Score,Home_Team,Home_Link,Home_Score,Location,Summary,Scraped_At
2026-05-02,8:30 PM,Coed,Coed_Division_(Touch),REGULAR,Winnipeg Wolfpack,https://pitfootball.com/league/pit-football/teams/548,,Seriously Fun,https://pitfootball.com/league/pit-football/teams/610,,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/118/schedule/2298,2026-08-29 15:30:28
2026-05-01,10:45 PM,5v5,Touch_Division_16,REGULAR,Original 16 Free Agents,https://pitfootball.com/league/pit-football/teams/573,,Almost Athletes,https://pitfootball.com/league/pit-football/teams/642,,WSF North - Garden City Complex (2),,2026-08-29 15:30:28
2026-05-01,10:45 PM,5v5,Touch_Division_15,REGULAR,Original 16 Free Agents,https://pitfootball.com/league/pit-football/teams/573,,Almost Athletes,https://pitfootball.com/league/pit-football/teams/642,,WSF North - Garden City Complex (2),,2026-08-29 15:30:28
2026-04-25,9:45 PM,Coed,Coed_Division_(Flag),REGULAR,Smells Like Teen Spirit,https://pitfootball.com/league/pit-football/teams/633,26,Disabled Guardians,https://pitfootball.com/league/pit-football/teams/650,33,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/117/schedule/2222,2026-08-29 15:30:28
2026-04-25,9:45 PM,5v5,Touch_Division_16,REGULAR,The Big Black Brant,https://pitfootball.com/league/pit-football/teams/552,0,Rach Hard Cachs,https://pitfootball.com/league/pit-football/teams/580,1,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/178/schedule/2218,2026-08-29 15:30:28
2026-04-25,9:45 PM,5v5,Touch_Division_5,REGULAR,GCH: The Second Coming,https://pitfootball.com/league/pit-football/teams/587,45,Young Guns Two,https://pitfootball.com/league/pit-football/teams/599,39,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/123/schedule/2229,2026-08-29 15:30:28
2026-04-25,9:45 PM,5v5,Touch_Division_4,REGULAR,Rouge Farm,https://pitfootball.com/league/pit-football/teams/641,0,Kate & Co.,https://pitfootball.com/league/pit-football/teams/591,44,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/122/schedule/2225,2026-08-29 15:30:28
2026-04-25,9:30 PM,5v5,Touch_Division_12,REGULAR,Deep Copper,https://pitfootball.com/league/pit-football/teams/561,7,Naughty Nightmares,https://pitfootball.com/league/pit-football/teams/531,6,WSF South - U of M Complex (2),https://pitfootball.com/league/pit-football/division/130/schedule/2249,2026-08-29 15:30:28
2026-04-25,9:30 PM,5v5,Touch_Division_10,REGULAR,Loose Cannons,https://pitfootball.com/league/pit-football/teams/620,18,The peasants,https://pitfootball.com/league/pit-football/teams/622,13,WSF South - U of M Complex (4),https://pitfootball.com/league/pit-football/division/128/schedule/2245,2026-08-29 15:30:28
2026-04-25,9:30 PM,5v5,Touch_Division_16,REGULAR,Undisputed Era,https://pitfootball.com/league/pit-football/teams/551,27,Original 16 Free Agents,https://pitfootball.com/league/pit-football/teams/573,24,WSF South - U of M Complex (1),https://pitfootball.com/league/pit-football/division/178/schedule/2234,2026-08-29 15:30:28
2026-04-25,9:30 PM,5v5,Touch_Division_8,REGULAR,Deep Copper,https://pitfootball.com/league/pit-football/teams/561,7,Naughty Nightmares,https://pitfootball.com/league/pit-football/teams/531,6,WSF South - U of M Complex (2),https://pitfootball.com/league/pit-football/division/130/schedule/2249,2026-08-29 15:30:28
2026-04-25,9:30 PM,5v5,Touch_Division_9,REGULAR,Young Wild and Free,https://pitfootball.com/league/pit-football/teams/566,21,Honeysuckle Football Boys,https://pitfootball.com/league/pit-football/teams/571,41,WSF South - U of M Complex (3),https://pitfootball.com/league/pit-football/division/127/schedule/2241,2026-08-29 15:30:28
2026-04-25,8:45 PM,Coed,Coed_Division_(Flag),REGULAR,Hot Mess Express,https://pitfootball.com/league/pit-football/teams/623,14,Bruh,https://pitfootball.com/league/pit-football/teams/637,35,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/117/schedule/2217,2026-08-29 15:30:28
2026-04-25,8:45 PM,Flag,Flag_D1_Women's,REGULAR,Triple T,https://pitfootball.com/league/pit-football/teams/600,27,Danger Zone,https://pitfootball.com/league/pit-football/teams/621,19,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/118/schedule/2248,2026-08-29 15:30:28
2026-04-25,8:45 PM,5v5,Touch_Division_4,REGULAR,Gym Class Heroes,https://pitfootball.com/league/pit-football/teams/588,25,young guns,https://pitfootball.com/league/pit-football/teams/598,21,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/122/schedule/2228,2026-08-29 15:30:28
2026-04-25,8:45 PM,Flag,Flag_D2_Men's,REGULAR,U18 Team Manitoba,https://pitfootball.com/league/pit-football/teams/603,48,The Diddlers,https://pitfootball.com/league/pit-football/teams/638,28,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/114/schedule/2221,2026-08-29 15:30:28
2026-04-25,8:45 PM,Coed,Coed_Division_(Touch),REGULAR,Triple T,https://pitfootball.com/league/pit-football/teams/600,27,Danger Zone,https://pitfootball.com/league/pit-football/teams/621,19,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/118/schedule/2248,2026-08-29 15:30:28
2026-04-25,8:30 PM,5v5,Touch_Division_13,REGULAR,Passaholics,https://pitfootball.com/league/pit-football/teams/611,13,Checkdown Chumps,https://pitfootball.com/league/pit-football/teams/564,12,WSF South - U of M Complex (4),https://pitfootball.com/league/pit-football/division/131/schedule/2244,2026-08-29 15:30:28
2026-04-25,8:30 PM,5v5,Touch_Division_15,REGULAR,Cinnamon Toast Crunch,https://pitfootball.com/league/pit-football/teams/640,0,Punt Force Trauma,https://pitfootball.com/league/pit-football/teams/550,1,WSF South - U of M Complex (1),https://pitfootball.com/league/pit-football/division/133/schedule/2233,2026-08-29 15:30:28
2026-04-25,8:30 PM,5v5,Touch_Division_15,REGULAR,Almost Athletes,https://pitfootball.com/league/pit-football/teams/642,7,Please Lettuce Win,https://pitfootball.com/league/pit-football/teams/618,34,WSF South - U of M Complex (2),https://pitfootball.com/league/pit-football/division/133/schedule/2237,2026-08-29 15:30:28
2026-04-25,8:30 PM,5v5,Touch_Division_6,REGULAR,Injured Reserve,https://pitfootball.com/league/pit-football/teams/567,26,Awesome luck,https://pitfootball.com/league/pit-football/teams/636,37,WSF South - U of M Complex (3),https://pitfootball.com/league/pit-football/division/124/schedule/2240,2026-08-29 15:30:28
2026-04-25,7:30 PM,5v5,Touch_Division_8,REGULAR,Old Dogs,https://pitfootball.com/league/pit-football/teams/559,57,Los Amigos Del Huddle,https://pitfootball.com/league/pit-football/teams/569,14,WSF South - U of M Complex (4),https://pitfootball.com/league/pit-football/division/126/schedule/2243,2026-08-29 15:30:28
2026-04-25,7:30 PM,5v5,Touch_Division_7,REGULAR,Folks from the East,https://pitfootball.com/league/pit-football/teams/658,27,431 Shootaz,https://pitfootball.com/league/pit-football/teams/592,24,WSF South - U of M Complex (3),https://pitfootball.com/league/pit-football/division/125/schedule/2239,2026-08-29 15:30:28
2026-04-25,7:30 PM,5v5,Touch_Division_3,REGULAR,Lizard Kings,https://pitfootball.com/league/pit-football/teams/612,12,Goobers,https://pitfootball.com/league/pit-football/teams/639,35,WSF South - U of M Complex (2),https://pitfootball.com/league/pit-football/division/121/schedule/2236,2026-08-29 15:30:28
2026-04-25,7:30 PM,Flag,Flag_D3_Men's,REGULAR,U16 Team Manitoba,https://pitfootball.com/league/pit-football/teams/549,46,Bikini Bottoms,https://pitfootball.com/league/pit-football/teams/586,32,WSF South - U of M Complex (1),https://pitfootball.com/league/pit-football/division/115/schedule/2232,2026-08-29 15:30:28
