Date,Time,League,Division,Type,Away_Team,Away_Link,Away_Score,Home_Team,Home_Link,Home_Score,Location,Summary
2025-08-28,18:45,7v7,Touch_7v7_D1_(Sponsored_by_Original_16),REGULAR,Fail Mary,https://pitfootball.com/league/pit-football/division/6/teams/72,,Touch Football Team,https://pitfootball.com/league/pit-football/division/6/teams/36,,Burton Cummings CC (1),
2025-08-28,18:45,7v7,Touch_7v7_D1_(Sponsored_by_Original_16),REGULAR,Strange Brew,https://pitfootball.com/league/pit-football/division/6/teams/31,,Last Hurrah,https://pitfootball.com/league/pit-football/division/6/teams/34,,Lindsey Wilson Field (1),
2025-08-28,18:45,7v7,Touch_7v7_D4_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Blouses Football,https://pitfootball.com/league/pit-football/division/9/teams/53,,Kraken,https://pitfootball.com/league/pit-football/division/9/teams/49,,John Forsyth (1),
2025-08-27,21:00,5v5,Touch_5v5_Flag_Division_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Winnipeg Rebellion,https://pitfootball.com/league/pit-football/division/1/teams/1,,Summer Kool Aid Squad,https://pitfootball.com/league/pit-football/division/1/teams/4,,RecPlex Field (1),
2025-08-27,21:00,5v5,Touch_5v5_Flag_Division_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Knights,https://pitfootball.com/league/pit-football/division/1/teams/67,,North Bay Flag,https://pitfootball.com/league/pit-football/division/1/teams/2,,RecPlex Field (2),
2025-08-27,20:00,5v5,Touch_5v5_Coed_Division_(Sponsored_by_Tavern_United),REGULAR,Down To Football Coed,https://pitfootball.com/league/pit-football/division/5/teams/28,,Bruh,https://pitfootball.com/league/pit-football/division/5/teams/27,,RecPlex Field (1),
2025-08-27,20:00,5v5,Touch_5v5_D5_(Sponsored_by_Apex_Field_Lining),REGULAR,Ball Handlers,https://pitfootball.com/league/pit-football/division/4/teams/23,,Fat & Furious,https://pitfootball.com/league/pit-football/division/4/teams/24,,RecPlex Field (2),
2025-08-27,19:00,5v5,Touch_5v5_D2_(Sponsored_by_Tapps),REGULAR,Down To Football,https://pitfootball.com/league/pit-football/division/2/teams/8,,Rouge God-ish,https://pitfootball.com/league/pit-football/division/2/teams/9,,RecPlex Field (1),
2025-08-27,19:00,5v5,Touch_5v5_D5_(Sponsored_by_Apex_Field_Lining),REGULAR,SKOL,https://pitfootball.com/league/pit-football/division/4/teams/22,,Lightweight,https://pitfootball.com/league/pit-football/division/4/teams/19,,RecPlex Field (2),
2025-08-27,18:45,7v7,Touch_7v7_D5_(Sponsored_by_Original_16),REGULAR,Cobras,https://pitfootball.com/league/pit-football/division/10/teams/55,,One Bourbon One Scotch One Beer,https://pitfootball.com/league/pit-football/division/10/teams/62,,Burton Cummings CC (1),
2025-08-27,18:15,7v7,Touch_7v7_D2_(Sponsored_by_Tapps),REGULAR,Enforcers,https://pitfootball.com/league/pit-football/division/7/teams/40,,Rebels,https://pitfootball.com/league/pit-football/division/7/teams/41,,John Forsyth (1),
2025-08-26,21:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,No Soup For You!,https://pitfootball.com/league/pit-football/division/3/teams/11,,The Glue Factory,https://pitfootball.com/league/pit-football/division/3/teams/13,,RecPlex Field (1),
2025-08-26,21:00,5v5,Touch_5v5_D5_(Sponsored_by_Apex_Field_Lining),REGULAR,Winnipeg Blue Bonnies,https://pitfootball.com/league/pit-football/division/4/teams/21,,Low Expectationz,https://pitfootball.com/league/pit-football/division/4/teams/20,,RecPlex Field (2),
2025-08-26,20:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Ignite,https://pitfootball.com/league/pit-football/division/3/teams/15,,Los Amigos Del Huddle,https://pitfootball.com/league/pit-football/division/3/teams/12,,RecPlex Field (2),
2025-08-26,20:00,5v5,Touch_5v5_Flag_Division_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Rouge God-ish,https://pitfootball.com/league/pit-football/division/1/teams/66,,MennoKnights,https://pitfootball.com/league/pit-football/division/1/teams/3,,RecPlex Field (1),
2025-08-26,19:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Wind Suckers,https://pitfootball.com/league/pit-football/division/3/teams/10,,Fighters of the Nightman,https://pitfootball.com/league/pit-football/division/3/teams/17,,RecPlex Field (1),
2025-08-26,19:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Sisters Football Club,https://pitfootball.com/league/pit-football/division/3/teams/14,,Bad Company,https://pitfootball.com/league/pit-football/division/3/teams/16,,RecPlex Field (2),
2025-08-26,18:45,7v7,Touch_7v7_D1_(Sponsored_by_Original_16),REGULAR,Gym Class Heroes,https://pitfootball.com/league/pit-football/division/6/teams/33,,Last Hurrah,https://pitfootball.com/league/pit-football/division/6/teams/34,,John Forsyth (1),
2025-08-26,18:15,7v7,Touch_7v7_D3_(Sponsored_by_Apex_Field_Lining),REGULAR,Gotham Knights,https://pitfootball.com/league/pit-football/division/8/teams/45,,Running Riot,https://pitfootball.com/league/pit-football/division/8/teams/42,,Burton Cummings CC (1),
2025-08-25,19:00,5v5,Touch_5v5_Coed_Division_(Sponsored_by_Tavern_United),REGULAR,Dillos Football Club,https://pitfootball.com/league/pit-football/division/5/teams/25,,Ball Handlers (Coed),https://pitfootball.com/league/pit-football/division/5/teams/30,,John Forsyth (1),
2025-08-25,18:45,7v7,Touch_7v7_D3_(Sponsored_by_Apex_Field_Lining),REGULAR,Necessary Roughness,https://pitfootball.com/league/pit-football/division/8/teams/46,,North Bay,https://pitfootball.com/league/pit-football/division/8/teams/43,,Burton Cummings CC (1),
2025-08-25,18:45,7v7,Touch_7v7_D3_(Sponsored_by_Apex_Field_Lining),REGULAR,Past Our Bed Times,https://pitfootball.com/league/pit-football/division/8/teams/47,,North End Hawkeyes,https://pitfootball.com/league/pit-football/division/8/teams/48,,Frank Whyte Field (1),
2025-08-25,18:45,7v7,Touch_7v7_D5_(Sponsored_by_Original_16),REGULAR,Hogs,https://pitfootball.com/league/pit-football/division/10/teams/60,,Gen Gap,https://pitfootball.com/league/pit-football/division/10/teams/59,,John Forsyth (1),
2025-08-24,19:00,7v7,Touch_7v7_D2_(Sponsored_by_Tapps),REGULAR,Coulda been,https://pitfootball.com/league/pit-football/division/7/teams/38,,Rebels,https://pitfootball.com/league/pit-football/division/7/teams/41,,John Forsyth (1),
2025-08-24,17:15,7v7,Touch_7v7_D1_(Sponsored_by_Original_16),REGULAR,Strange Brew,https://pitfootball.com/league/pit-football/division/6/teams/31,,Touch Football Team,https://pitfootball.com/league/pit-football/division/6/teams/36,,John Forsyth (1),
2025-08-22,19:00,7v7,Touch_7v7_D1_(Sponsored_by_Original_16),REGULAR,Cream Machine,https://pitfootball.com/league/pit-football/division/6/teams/32,,Last Hurrah,https://pitfootball.com/league/pit-football/division/6/teams/34,,John Forsyth (1),
2025-08-22,19:00,7v7,Touch_7v7_D3_(Sponsored_by_Apex_Field_Lining),REGULAR,North Bay,https://pitfootball.com/league/pit-football/division/8/teams/43,,Young Wild & Everdeadly,https://pitfootball.com/league/pit-football/division/8/teams/44,,Frank Whyte Field (1),
2025-08-22,19:00,7v7,Touch_7v7_D5_(Sponsored_by_Original_16),REGULAR,Huddle Buddies,https://pitfootball.com/league/pit-football/division/10/teams/56,,Injured Reserve,https://pitfootball.com/league/pit-football/division/10/teams/58,,Lindsey Wilson Field (1),
2025-08-21,19:00,7v7,Touch_7v7_D3_(Sponsored_by_Apex_Field_Lining),REGULAR,Necessary Roughness,https://pitfootball.com/league/pit-football/division/8/teams/46,,Running Riot,https://pitfootball.com/league/pit-football/division/8/teams/42,,John Forsyth (1),
2025-08-21,19:00,7v7,Touch_7v7_D4_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Boats 'n Bros FC,https://pitfootball.com/league/pit-football/division/9/teams/50,,Wickermen,https://pitfootball.com/league/pit-football/division/9/teams/54,,Burton Cummings CC (1),
2025-08-21,19:00,7v7,Touch_7v7_D4_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Kraken,https://pitfootball.com/league/pit-football/division/9/teams/49,,Boozers,https://pitfootball.com/league/pit-football/division/9/teams/52,,Lindsey Wilson Field (1),
2025-08-20,21:00,5v5,Touch_5v5_D5_(Sponsored_by_Apex_Field_Lining),REGULAR,Fat & Furious,https://pitfootball.com/league/pit-football/division/4/teams/24,,Low Expectationz,https://pitfootball.com/league/pit-football/division/4/teams/20,,RecPlex Field (2),
2025-08-20,21:00,5v5,Touch_5v5_Flag_Division_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,North Bay Flag,https://pitfootball.com/league/pit-football/division/1/teams/2,,Summer Kool Aid Squad,https://pitfootball.com/league/pit-football/division/1/teams/4,,RecPlex Field (1),
2025-08-20,20:00,5v5,Touch_5v5_Coed_Division_(Sponsored_by_Tavern_United),REGULAR,Down To Football Coed,https://pitfootball.com/league/pit-football/division/5/teams/28,,Dillos Football Club,https://pitfootball.com/league/pit-football/division/5/teams/25,,RecPlex Field (1),
2025-08-20,20:00,5v5,Touch_5v5_Coed_Division_(Sponsored_by_Tavern_United),REGULAR,Edgers,https://pitfootball.com/league/pit-football/division/5/teams/29,,Bear Minimum,https://pitfootball.com/league/pit-football/division/5/teams/26,,RecPlex Field (2),
2025-08-20,19:00,5v5,Touch_5v5_D5_(Sponsored_by_Apex_Field_Lining),REGULAR,Lightweight,https://pitfootball.com/league/pit-football/division/4/teams/19,,Ball Handlers,https://pitfootball.com/league/pit-football/division/4/teams/23,,RecPlex Field (1),
2025-08-20,19:00,5v5,Touch_5v5_D5_(Sponsored_by_Apex_Field_Lining),REGULAR,SKOL,https://pitfootball.com/league/pit-football/division/4/teams/22,,Winnipeg Blue Bonnies,https://pitfootball.com/league/pit-football/division/4/teams/21,,RecPlex Field (2),
2025-08-20,19:00,7v7,Touch_7v7_D2_(Sponsored_by_Tapps),REGULAR,Past Our Primetime,https://pitfootball.com/league/pit-football/division/7/teams/39,,Fail Mary,https://pitfootball.com/league/pit-football/division/7/teams/37,,John Forsyth (1),
2025-08-20,19:00,7v7,Touch_7v7_D5_(Sponsored_by_Original_16),REGULAR,One Bourbon One Scotch One Beer,https://pitfootball.com/league/pit-football/division/10/teams/62,,Boltz,https://pitfootball.com/league/pit-football/division/10/teams/57,,Burton Cummings CC (1),
2025-08-19,21:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Black Widows,https://pitfootball.com/league/pit-football/division/3/teams/18,,Los Amigos Del Huddle,https://pitfootball.com/league/pit-football/division/3/teams/12,,RecPlex Field (2),
2025-08-19,21:00,5v5,Touch_5v5_Flag_Division_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,MennoKnights,https://pitfootball.com/league/pit-football/division/1/teams/3,,Winnipeg Rebellion,https://pitfootball.com/league/pit-football/division/1/teams/1,,RecPlex Field (1),
2025-08-19,20:00,5v5,Touch_5v5_Coed_Division_(Sponsored_by_Tavern_United),REGULAR,Ball Handlers (Coed),https://pitfootball.com/league/pit-football/division/5/teams/30,,Bruh,https://pitfootball.com/league/pit-football/division/5/teams/27,,RecPlex Field (2),
2025-08-19,20:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Knights,https://pitfootball.com/league/pit-football/division/3/teams/71,,Fighters of the Nightman,https://pitfootball.com/league/pit-football/division/3/teams/17,,RecPlex Field (1),
2025-08-19,19:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Bad Company,https://pitfootball.com/league/pit-football/division/3/teams/16,,No Soup For You!,https://pitfootball.com/league/pit-football/division/3/teams/11,,RecPlex Field (1),
2025-08-19,19:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Sisters Football Club,https://pitfootball.com/league/pit-football/division/3/teams/14,,The Glue Factory,https://pitfootball.com/league/pit-football/division/3/teams/13,,RecPlex Field (2),
2025-08-19,18:30,7v7,Touch_7v7_D1_(Sponsored_by_Original_16),REGULAR,"Beers, Girls, and Football",https://pitfootball.com/league/pit-football/division/6/teams/35,,Gym Class Heroes,https://pitfootball.com/league/pit-football/division/6/teams/33,,Burton Cummings CC (1),
2025-08-19,18:30,7v7,Touch_7v7_D5_(Sponsored_by_Original_16),REGULAR,Blast From the Past,https://pitfootball.com/league/pit-football/division/10/teams/61,,Hogs,https://pitfootball.com/league/pit-football/division/10/teams/60,,John Forsyth (1),
2025-08-18,19:30,5v5,Touch_5v5_D2_(Sponsored_by_Tapps),REGULAR,Goobers,https://pitfootball.com/league/pit-football/division/2/teams/7,,Down To Football,https://pitfootball.com/league/pit-football/division/2/teams/8,,John Forsyth (1),
2025-08-18,19:00,7v7,Touch_7v7_D3_(Sponsored_by_Apex_Field_Lining),REGULAR,Past Our Bed Times,https://pitfootball.com/league/pit-football/division/8/teams/47,,Gotham Knights,https://pitfootball.com/league/pit-football/division/8/teams/45,,Frank Whyte Field (1),
2025-08-18,19:00,7v7,Touch_7v7_D4_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Original 16 Free Agents,https://pitfootball.com/league/pit-football/division/9/teams/51,,Blouses Football,https://pitfootball.com/league/pit-football/division/9/teams/53,,Burton Cummings CC (1),
2025-08-18,19:00,7v7,Touch_7v7_D5_(Sponsored_by_Original_16),REGULAR,Gen Gap,https://pitfootball.com/league/pit-football/division/10/teams/59,,Cobras,https://pitfootball.com/league/pit-football/division/10/teams/55,,John Forsyth (1),
2025-08-18,18:30,5v5,Touch_5v5_Coed_Division_(Sponsored_by_Tavern_United),REGULAR,Lightweight,https://pitfootball.com/league/pit-football/division/5/teams/70,,Bear Minimum,https://pitfootball.com/league/pit-football/division/5/teams/26,,John Forsyth (1),
2025-08-17,19:15,7v7,Touch_7v7_D2_(Sponsored_by_Tapps),REGULAR,Enforcers,https://pitfootball.com/league/pit-football/division/7/teams/40,,Coulda been,https://pitfootball.com/league/pit-football/division/7/teams/38,,John Forsyth (1),
2025-08-17,17:30,7v7,Touch_7v7_D5_(Sponsored_by_Original_16),REGULAR,Blast From the Past,https://pitfootball.com/league/pit-football/division/10/teams/61,,Injured Reserve,https://pitfootball.com/league/pit-football/division/10/teams/58,,John Forsyth (1),
2025-08-13,21:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Los Amigos Del Huddle,https://pitfootball.com/league/pit-football/division/3/teams/12,,The Glue Factory,https://pitfootball.com/league/pit-football/division/3/teams/13,,RecPlex Field (2),
2025-08-13,21:00,5v5,Touch_5v5_Flag_Division_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Summer Kool Aid Squad,https://pitfootball.com/league/pit-football/division/1/teams/4,,MennoKnights,https://pitfootball.com/league/pit-football/division/1/teams/3,,RecPlex Field (1),
2025-08-13,20:00,5v5,Touch_5v5_Coed_Division_(Sponsored_by_Tavern_United),REGULAR,Dillos Football Club,https://pitfootball.com/league/pit-football/division/5/teams/25,,Bruh,https://pitfootball.com/league/pit-football/division/5/teams/27,,RecPlex Field (2),
2025-08-13,20:00,5v5,Touch_5v5_D2_(Sponsored_by_Tapps),REGULAR,Goobers,https://pitfootball.com/league/pit-football/division/2/teams/7,,Knights,https://pitfootball.com/league/pit-football/division/2/teams/6,,RecPlex Field (1),
2025-08-13,19:30,7v7,Touch_7v7_D1_(Sponsored_by_Original_16),REGULAR,Last Hurrah,https://pitfootball.com/league/pit-football/division/6/teams/34,,Touch Football Team,https://pitfootball.com/league/pit-football/division/6/teams/36,,John Forsyth (1),
2025-08-13,19:30,7v7,Touch_7v7_D5_(Sponsored_by_Original_16),REGULAR,Boltz,https://pitfootball.com/league/pit-football/division/10/teams/57,,Hogs,https://pitfootball.com/league/pit-football/division/10/teams/60,,Assiniboine Park (Deer) (1),
2025-08-13,19:00,5v5,Touch_5v5_Coed_Division_(Sponsored_by_Tavern_United),REGULAR,Down To Football Coed,https://pitfootball.com/league/pit-football/division/5/teams/28,,Edgers,https://pitfootball.com/league/pit-football/division/5/teams/29,,RecPlex Field (2),
2025-08-13,19:00,5v5,Touch_5v5_D5_(Sponsored_by_Apex_Field_Lining),REGULAR,SKOL,https://pitfootball.com/league/pit-football/division/4/teams/22,,Ball Handlers,https://pitfootball.com/league/pit-football/division/4/teams/23,,RecPlex Field (1),
2025-08-13,18:00,7v7,Touch_7v7_D2_(Sponsored_by_Tapps),REGULAR,Past Our Primetime,https://pitfootball.com/league/pit-football/division/7/teams/39,,Rebels,https://pitfootball.com/league/pit-football/division/7/teams/41,,John Forsyth (1),
2025-08-13,18:00,7v7,Touch_7v7_D5_(Sponsored_by_Original_16),REGULAR,One Bourbon One Scotch One Beer,https://pitfootball.com/league/pit-football/division/10/teams/62,,Gen Gap,https://pitfootball.com/league/pit-football/division/10/teams/59,,Assiniboine Park (Deer) (1),
2025-08-12,21:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Bad Company,https://pitfootball.com/league/pit-football/division/3/teams/16,,Wind Suckers,https://pitfootball.com/league/pit-football/division/3/teams/10,,RecPlex Field (2),
2025-08-12,21:00,5v5,Touch_5v5_Flag_Division_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Winnipeg Rebellion,https://pitfootball.com/league/pit-football/division/1/teams/1,,North Bay Flag,https://pitfootball.com/league/pit-football/division/1/teams/2,,RecPlex Field (1),
2025-08-12,20:00,5v5,Touch_5v5_Coed_Division_(Sponsored_by_Tavern_United),REGULAR,Bear Minimum,https://pitfootball.com/league/pit-football/division/5/teams/26,,Ball Handlers (Coed),https://pitfootball.com/league/pit-football/division/5/teams/30,,RecPlex Field (1),
2025-08-12,20:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,No Soup For You!,https://pitfootball.com/league/pit-football/division/3/teams/11,,Ignite,https://pitfootball.com/league/pit-football/division/3/teams/15,,RecPlex Field (2),
2025-08-12,19:30,7v7,Touch_7v7_D3_(Sponsored_by_Apex_Field_Lining),REGULAR,Young Wild & Everdeadly,https://pitfootball.com/league/pit-football/division/8/teams/44,,Necessary Roughness,https://pitfootball.com/league/pit-football/division/8/teams/46,,Assiniboine Park (Deer) (1),
2025-08-12,19:30,7v7,Touch_7v7_D4_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Blouses Football,https://pitfootball.com/league/pit-football/division/9/teams/53,,Wickermen,https://pitfootball.com/league/pit-football/division/9/teams/54,,John Forsyth (1),
2025-08-12,19:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Sisters Football Club,https://pitfootball.com/league/pit-football/division/3/teams/14,,Black Widows,https://pitfootball.com/league/pit-football/division/3/teams/18,,RecPlex Field (1),
2025-08-12,19:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Down To Football,https://pitfootball.com/league/pit-football/division/3/teams/69,,Fighters of the Nightman,https://pitfootball.com/league/pit-football/division/3/teams/17,,RecPlex Field (2),
2025-08-12,18:00,7v7,Touch_7v7_D3_(Sponsored_by_Apex_Field_Lining),REGULAR,Past Our Bed Times,https://pitfootball.com/league/pit-football/division/8/teams/47,,Running Riot,https://pitfootball.com/league/pit-football/division/8/teams/42,,John Forsyth (1),
2025-08-12,18:00,7v7,Touch_7v7_D4_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Boats 'n Bros FC,https://pitfootball.com/league/pit-football/division/9/teams/50,,Boozers,https://pitfootball.com/league/pit-football/division/9/teams/52,,Assiniboine Park (Deer) (1),
2025-08-11,19:30,5v5,Touch_5v5_Coed_Division_(Sponsored_by_Tavern_United),REGULAR,Edgers,https://pitfootball.com/league/pit-football/division/5/teams/29,,Bruh,https://pitfootball.com/league/pit-football/division/5/teams/27,,John Forsyth (1),
2025-08-11,19:30,5v5,Touch_5v5_D5_(Sponsored_by_Apex_Field_Lining),REGULAR,Low Expectationz,https://pitfootball.com/league/pit-football/division/4/teams/20,,Ball Handlers,https://pitfootball.com/league/pit-football/division/4/teams/23,,Burton Cummings CC (1),
2025-08-11,19:30,7v7,Touch_7v7_D4_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Kraken,https://pitfootball.com/league/pit-football/division/9/teams/49,,Original 16 Free Agents,https://pitfootball.com/league/pit-football/division/9/teams/51,,Burton Cummings CC (1),
2025-08-11,18:30,5v5,Touch_5v5_D2_(Sponsored_by_Tapps),REGULAR,Rouge God-ish,https://pitfootball.com/league/pit-football/division/2/teams/9,,Goobers,https://pitfootball.com/league/pit-football/division/2/teams/7,,Burton Cummings CC (1),
2025-08-11,18:30,5v5,Touch_5v5_D5_(Sponsored_by_Apex_Field_Lining),REGULAR,Fat & Furious,https://pitfootball.com/league/pit-football/division/4/teams/24,,Lightweight,https://pitfootball.com/league/pit-football/division/4/teams/19,,John Forsyth (1),
