Date,Time,League,Division,Type,Away_Team,Away_Link,Away_Score,Home_Team,Home_Link,Home_Score,Location,Summary,Scraped_At
2026-01-11,00:45,5v5,Touch_Division_12,REGULAR,Honeysuckle Football Boys,https://pitfootball.comdivision/53/teams/897,,Young Wild and Free,https://pitfootball.com/league/pit-football/division/54/teams/672,,WSF North - Garden City Complex (4),,2026-01-06 19:10:42
2026-01-11,00:45,5v5,Touch_Division_3,REGULAR,Philadelphia Cream Cheese,https://pitfootball.com/league/pit-football/division/45/teams/758,,Boston Creamers,https://pitfootball.com/league/pit-football/division/45/teams/760,,WSF North - Garden City Complex (1),,2026-01-06 19:10:42
2026-01-11,00:45,5v5,Touch_Division_6,REGULAR,Avengers,https://pitfootball.comdivision/47/teams/840,,Brewers,https://pitfootball.com/league/pit-football/division/48/teams/846,,WSF North - Garden City Complex (3),,2026-01-06 19:10:42
2026-01-11,00:45,Flag,Flag_D2,REGULAR,A1 Flags,https://pitfootball.com/league/pit-football/division/41/teams/797,,Honey Packs,https://pitfootball.comdivision/99/teams/751,,WSF North - Garden City Complex (2),,2026-01-06 19:10:42
2026-01-11,00:30,5v5,Touch_Division_15,REGULAR,Huddle Buddies,https://pitfootball.com/league/pit-football/division/57/teams/956,,Cougar hunters,https://pitfootball.com/league/pit-football/division/57/teams/953,,WSF South - U of M Complex (4),,2026-01-06 19:10:42
2026-01-11,00:30,5v5,Touch_Division_18,REGULAR,Practice Safe Sacks,https://pitfootball.com/league/pit-football/division/106/teams/991,,One Bourbon One Scotch One Beer,https://pitfootball.com/league/pit-football/division/106/teams/916,,WSF South - U of M Complex (1),,2026-01-06 19:10:42
2026-01-11,00:30,5v5,Touch_Division_20,REGULAR,Cinnamon Toast Crunch,https://pitfootball.com/league/pit-football/division/107/teams/909,,Undisputed Era,https://pitfootball.com/league/pit-football/division/107/teams/907,,WSF South - U of M Complex (3),,2026-01-06 19:10:42
2026-01-11,00:30,5v5,Touch_Division_3,REGULAR,Cream Day Jackers,https://pitfootball.com/league/pit-football/division/45/teams/757,,Creme Fraiche,https://pitfootball.com/league/pit-football/division/45/teams/761,,WSF South - U of M Complex (2),,2026-01-06 19:10:42
2026-01-10,23:45,5v5,Touch_Division_14,REGULAR,Sad Sacks,https://pitfootball.com/league/pit-football/division/56/teams/635,,Globo Gym Purple Cobras,https://pitfootball.com/league/pit-football/division/56/teams/1022,,WSF North - Garden City Complex (4),,2026-01-06 19:10:42
2026-01-10,23:45,5v5,Touch_Division_6,REGULAR,GCH: The Second Coming,https://pitfootball.comdivision/49/teams/1005,,Sisters Football Club,https://pitfootball.com/league/pit-football/division/48/teams/647,,WSF North - Garden City Complex (1),,2026-01-06 19:10:42
2026-01-10,23:45,5v5,Touch_Division_6,REGULAR,Deep Balls n House Calls,https://pitfootball.comdivision/49/teams/943,,Hard Rods for Dad Bods,https://pitfootball.com/league/pit-football/division/48/teams/1004,,WSF North - Garden City Complex (3),,2026-01-06 19:10:42
2026-01-10,23:45,Flag,Flag_D2,REGULAR,Bangorangutans,https://pitfootball.com/league/pit-football/division/41/teams/662,,Peg City Pipeline,https://pitfootball.comdivision/40/teams/752,,WSF North - Garden City Complex (2),,2026-01-06 19:10:42
