Date,Time,League,Division,Type,Away_Team,Away_Score,Home_Team,Home_Score,Location
2025-10-18,23:15,5v5,Touch_Division_3,REGULAR,All black no cream,20,Creamsicles,25,WSF North - Garden City Complex (3)
2025-10-18,23:15,5v5,Touch_Division_4,REGULAR,Gym Class Heroes,26,Andriys Dream Team,38,WSF North - Garden City Complex (2)
2025-10-18,23:15,5v5,Touch_Division_4,REGULAR,Rouge Gods,1,Rifles,0,WSF South - U of M Complex (2)
2025-10-19,00:15,5v5,Touch_Division_3,REGULAR,Cream of the century,38,Cream on your TDs,6,WSF North - Garden City Complex (3)
2025-10-24,22:15,5v5,Touch_Division_4,REGULAR,Rouge Gods,25,Down 2 Football,59,WSF South - U of M Complex (3)
2025-10-24,23:30,5v5,Touch_Division_3,REGULAR,Cream on your TDs,38,Peaches and cream,13,WSF North - Garden City Complex (2)
2025-10-24,23:30,5v5,Touch_Division_3,REGULAR,Cream of the century,24,Creamsicles,31,WSF North - Garden City Complex (3)
2025-10-25,00:30,5v5,Touch_Division_4,REGULAR,Andriys Dream Team,25,God Hates Jags,13,WSF North - Garden City Complex (2)
2025-10-25,23:15,5v5,Touch_Division_1_&_2,REGULAR,Polk High,41,Seafood City,20,WSF North - Garden City Complex (2)
2025-10-26,00:15,5v5,Touch_Division_1_&_2,REGULAR,MennoKnights and the Frog,19,Be Sexy,18,WSF North - Garden City Complex (2)
2025-10-31,22:45,5v5,Touch_Division_1_&_2,REGULAR,MennoKnights and the Frog,41,Big Baller Brand,38,WSF North - Garden City Complex (2)
2025-11-01,19:30,5v5,Touch_Division_4,REGULAR,God Hates Jags,36,Gym Class Heroes,28,WSF North - Garden City Complex (2)
2025-11-01,20:30,5v5,Touch_Division_3,REGULAR,Cream on your TDs,21,All black no cream,32,WSF South - U of M Complex (3)
2025-11-01,21:30,5v5,Touch_Division_3,REGULAR,Peaches and cream,0,Creamsicles,1,WSF South - U of M Complex (3)
2025-11-01,22:30,5v5,Touch_Division_1_&_2,REGULAR,Polk High,37,Sock Puppets,19,WSF South - U of M Complex (3)
2025-11-01,22:30,5v5,Touch_Division_4,REGULAR,Rifles,28,Down 2 Football,35,WSF South - U of M Complex (1)
2025-11-07,22:45,5v5,Touch_Division_4,REGULAR,God Hates Jags,25,Rouge Gods,41,WSF South - U of M Complex (2)
2025-11-07,23:05,5v5,Touch_Division_4,REGULAR,Down 2 Football,44,Andriys Dream Team,12,WSF North - Garden City Complex (3)
